Kategooria;Mark;Mudel;Keretüüp;Väljalaske aasta;Mootori tüüp;Mootori võimsus;Maakond;Arv
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;1997;Bensiin kat.;95;Lääne-Viru Maakond;2
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;1998;Bensiin kat.;95;Jõgeva Maakond;2
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;1998;Bensiin kat.;95;Rapla Maakond;1
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;1998;Bensiin kat.;95;Tartu Maakond;1
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;1999;Bensiin kat.;95;Viljandi Maakond;1
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;1999;Bensiin kat.;105;Jõgeva Maakond;1
M1;MERCEDES-BENZ;VITO 113;MAHTUNIVERSAAL;2002;Bensiin kat.;95;Pärnu Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2011;Diisel;100;Harju Maakond;8
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2011;Diisel;100;Põlva Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2011;Diisel;100;Saare Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2011;Diisel;100;Tartu Maakond;3
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2011;Diisel;100;Valga Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2011;Diisel;100;Võru Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2012;Diisel;100;Harju Maakond;7
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2012;Diisel;100;Saare Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2012;Diisel;100;Tartu Maakond;1
M1;MERCEDES-BENZ;VITO 113 CDI;MAHTUNIVERSAAL;2012;Diisel;100;Võru Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1997;Bensiin kat.;105;Harju Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1997;Bensiin kat.;105;Määramata;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1997;Bensiin kat.;105;Tartu Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1998;Bensiin;105;Järva Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1998;Bensiin kat.;105;Harju Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1998;Bensiin kat.;105;Saare Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1999;Bensiin kat.;105;Harju Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;1999;Bensiin kat.;105;Rapla Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;2001;Bensiin kat.;105;Harju Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;2002;Bensiin kat.;105;Harju Maakond;1
M1;MERCEDES-BENZ;VITO 114;MAHTUNIVERSAAL;2003;Bensiin kat.;105;Saare Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2003;Diisel;110;Harju Maakond;4
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2003;Diisel;110;Tartu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Harju Maakond;13
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Hiiu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Ida-Viru Maakond;6
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Lääne-Viru Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Pärnu Maakond;2
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Rapla Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Tartu Maakond;5
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2004;Diisel;110;Viljandi Maakond;2
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2005;Diisel;110;Harju Maakond;5
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2005;Diisel;110;Hiiu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2005;Diisel;110;Pärnu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2005;Diisel;110;Saare Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2005;Diisel;110;Tartu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2005;Diisel;110;Viljandi Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2006;Diisel;110;Harju Maakond;13
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2006;Diisel;110;Järva Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2006;Diisel;110;Saare Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2006;Diisel;110;Valga Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2007;Diisel;110;Harju Maakond;6
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2007;Diisel;110;Pärnu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2007;Diisel;110;Rapla Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2007;Diisel;110;Tartu Maakond;3
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2007;Diisel;110;Viljandi Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2007;Diisel;110;Võru Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2008;Diisel;110;Harju Maakond;7
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2008;Diisel;110;Ida-Viru Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2008;Diisel;110;Lääne Maakond;2
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2008;Diisel;110;Põlva Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2009;Diisel;110;Harju Maakond;3
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2009;Diisel;110;Ida-Viru Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI;MAHTUNIVERSAAL;2010;Diisel;110;Harju Maakond;2
M1;MERCEDES-BENZ;VITO 115 CDI 4X4;MAHTUNIVERSAAL;2006;Diisel;110;Harju Maakond;2
M1;MERCEDES-BENZ;VITO 115 CDI 4X4;MAHTUNIVERSAAL;2007;Diisel;110;Harju Maakond;4
M1;MERCEDES-BENZ;VITO 115 CDI 4X4;MAHTUNIVERSAAL;2007;Diisel;110;Tartu Maakond;1
M1;MERCEDES-BENZ;VITO 115 CDI 4X4;MAHTUNIVERSAAL;2007;Diisel;110;Viljandi Maakond;1
