Nimekiri,Hääli,Nr,Nimi
Eesti Keskerakond,1259,101,AADU MUST
Eesti Keskerakond,1208,102,AIVAR RIISALU
Erakond Isamaa ja Res Publica Liit,166,177,ANTS KASK
Eesti Reformierakond,893,435,ANTS LAANEOTS
Eesti Keskerakond,359,110,ARTJOM SUVOROV
Erakond Isamaa ja Res Publica Liit,389,158,ENE ERGMA
Eesti Reformierakond,169,511,EVERT RÖÖPSON
Valimisliit Vabakund,670,221,GEA KANGILASKI
Eesti Reformierakond,137,464,HARRI JALLAJAS
Eesti Reformierakond,160,442,HELE EVERAUS
Sotsiaaldemokraatlik Erakond,1733,346,HELJO PIKHOF
Eesti Keskerakond,224,108,IGOR ABARENKOV
Isamaaline Tartu Kodanik - Valimisliit,308,310,IMRE MÜRK
Erakond Isamaa ja Res Publica Liit,199,159,JAAK AAVIKSOO
Sotsiaaldemokraatlik Erakond,137,361,JAAN SÕRRA
Eesti Keskerakond,472,119,JELENA KALBINA
Erakond Isamaa ja Res Publica Liit,418,165,JOEL LUHAMETS
Valimisliit Vabakund,131,222,JÜRI GINTER
Valimisliit Vabakund,166,224,JÜRI-OTT SALM
Sotsiaaldemokraatlik Erakond,192,350,KADRI LEETMAA
Sotsiaaldemokraatlik Erakond,140,348,KAJAR LEMBER
Erakond Isamaa ja Res Publica Liit,140,192,KARL KULL
Sotsiaaldemokraatlik Erakond,144,354,LEMMIT KAPLINSKI
Erakond Isamaa ja Res Publica Liit,3260,157,MARGUS TSAHKNA
Sotsiaaldemokraatlik Erakond,731,433,MARJU LAURISTIN
Eesti Reformierakond,119,501,MARTIN PARMAS
Eesti Reformierakond,120,519,MATI TOLMOFF
Isamaaline Tartu Kodanik - Valimisliit,324,312,MERLE JÄÄGER
Erakond Isamaa ja Res Publica Liit,270,166,MIHHAIL LOTMAN
Eesti Keskerakond,222,103,NATALJA TROŠINA
Eesti Keskerakond,957,153,NIKOLAI PÕDRAMÄGI
Eesti Keskerakond,220,106,OLEV RAJU
Erakond Isamaa ja Res Publica Liit,401,156,PEETER LAURSON
Erakond Isamaa ja Res Publica Liit,230,171,PEETER TULVISTE
Eesti Reformierakond,237,439,RAIMOND TAMM
Erakond Isamaa ja Res Publica Liit,473,160,REIN KILK
Eesti Reformierakond,228,437,TARMO NOOP
Erakond Isamaa ja Res Publica Liit,141,178,TEET JAGOMÄGI
Eesti Reformierakond,213,440,TIIA TEPPAN
Sotsiaaldemokraatlik Erakond,528,351,TOOMAS JÜRGENSTEIN
Eesti Reformierakond,265,438,TOOMAS KAPP
Eesti Reformierakond,200,436,TRIIN ANETTE KAASIK
Isamaaline Tartu Kodanik - Valimisliit,891,345,TÕNIS LUKAS
Sotsiaaldemokraatlik Erakond,158,347,TÕNU INTS
Eesti Reformierakond,5292,434,URMAS KRUUSE
Eesti Reformierakond,276,449,VALVO SEMILARSKI
Eesti Reformierakond,135,443,VELJO IPITS
Eesti Reformierakond,188,445,VERNI LOODMAA
Eesti Keskerakond,298,105,VLADIMIR ŠOKMAN
