Nimekiri,Hääli,Nr,Nimi
Eesti Keskerakond,1326,916,ALEKSANDR TŠAPLÕGIN
Eesti Keskerakond,177,1087,ALEKSEI SEMJONOV
Eesti Keskerakond,2606,1028,ANDREI NOVIKOV
Sotsiaaldemokraatlik Erakond,1614,1410,ANDRES ANVELT
Eesti Keskerakond,33,1208,ANDRES KOLLIST
Sotsiaaldemokraatlik Erakond,279,1522,ANTO LIIVAT
Eesti Keskerakond,1004,1209,ARVO SARAPUU
Sotsiaaldemokraatlik Erakond,239,1546,BARBI-JENNY PILVRE-STORGARD
Eesti Keskerakond,13,1108,DAISY JÄRVA
Eesti Keskerakond,174,1118,DENISS PRESNETSOV
Eesti Keskerakond,39979,1069,EDGAR SAVISAAR
Erakond Isamaa ja Res Publica Liit,6897,129,EERIK-NIILES KROSS
Erakond Isamaa ja Res Publica Liit,878,159,ELLE KULL
Eesti Keskerakond,31,1074,ELMAR-JOHANNES TRUU
Eesti Keskerakond,756,1287,ENN EESMAA
Erakond Isamaa ja Res Publica Liit,1527,178,ERKI NOOL
Eesti Keskerakond,1273,1140,ERKI SAVISAAR
Sotsiaaldemokraatlik Erakond,34,1438,HANNO MATTO
Eesti Reformierakond,1759,511,HANNO PEVKUR
Eesti Keskerakond,127,1210,HEIDY TAMME
Eesti Reformierakond,406,335,IGOR GRÄZIN
Eesti Keskerakond,205,1085,IGOR JERMAKOV
Eesti Keskerakond,1270,1142,IGOR KRAVTŠENKO
Sotsiaaldemokraatlik Erakond,1391,1493,INDREK SAAR
Eesti Keskerakond,47,1032,IRINA EMBRICH
Sotsiaaldemokraatlik Erakond,458,1554,JAAK JUSKE
Eesti Keskerakond,204,1072,JELENA GLEBOVA
Erakond Isamaa ja Res Publica Liit,2310,210,JUHAN PARTS
Eesti Keskerakond,1288,902,JURI POLJAKOV
Eesti Reformierakond,1606,426,JÜRGEN LIGI
Eesti Keskerakond,8017,1138,JÜRI RATAS
Eesti Keskerakond,111,1254,KAIE KÕRB
Eesti Keskerakond,75,1252,KAJA LAANMÄE
Erakond Isamaa ja Res Publica Liit,1333,281,KALEV VAPPER
Eesti Keskerakond,435,1071,KALLE KLANDORF
Eesti Keskerakond,1335,1289,KARIN TAMMEMÄGI
Eesti Reformierakond,1184,380,KEIT PENTUS-ROSIMANNUS
Erakond Isamaa ja Res Publica Liit,2035,104,KEN-MARTI VAHER
Eesti Reformierakond,697,654,KRISTEN MICHAL
Eesti Keskerakond,243,1075,LEONID MIHHAILOV
Erakond Isamaa ja Res Publica Liit,2113,295,LIISA-LY PAKOSTA
Erakond Isamaa ja Res Publica Liit,308,212,MADIS KÜBAR
Eesti Keskerakond,682,900,MAILIS REPS
Eesti Keskerakond,1265,901,MAREK JÜRGENSON
Eesti Keskerakond,1449,1141,MARGARITA TŠERNOGOROVA
Eesti Keskerakond,199,1081,MARIA JUFEREVA
Eesti Keskerakond,654,1025,MARIKA TUUS-LAUL
Erakond Isamaa ja Res Publica Liit,1352,211,MART NUTT
Eesti Keskerakond,762,1139,MERIKE MARTINSON
Eesti Keskerakond,2672,962,MIHHAIL KORB
Eesti Keskerakond,5307,1288,MIHHAIL KÕLVART
Eesti Keskerakond,738,1291,MÄRT SULTS
Eesti Keskerakond,891,961,NATALIA MALLEUS
Eesti Keskerakond,255,1077,NELLI PRIVALOVA
Eesti Keskerakond,242,966,NIINA SÕTNIK
Eesti Keskerakond,2450,1070,OLGA IVANOVA
Sotsiaaldemokraatlik Erakond,4237,1521,RAINER VAKRA
Erakond Isamaa ja Res Publica Liit,501,158,REET ROOS
Eesti Keskerakond,1537,1213,REIN RATAS
Erakond Isamaa ja Res Publica Liit,278,134,RIINA SOLMAN
Eesti Keskerakond,455,1079,RUSLANA VEBER
Erakond Isamaa ja Res Publica Liit,89,132,SIIM KABRITS
Erakond Isamaa ja Res Publica Liit,615,248,SIIM VALMAR KIISLER
Erakond Isamaa ja Res Publica Liit,469,130,SVEN SESTER
Eesti Keskerakond,227,1253,TAAVI AAS
Eesti Reformierakond,1405,334,TAAVI RÕIVAS
Erakond Isamaa ja Res Publica Liit,2281,157,TARMO KRUUSIMÄE
Eesti Keskerakond,1052,1251,TIIT TERIK
Eesti Keskerakond,38,1255,TOIVO TOOTSEN
Eesti Keskerakond,1181,960,TOOMAS VITSUT
Eesti Reformierakond,2633,586,URMAS PAET
Erakond Isamaa ja Res Publica Liit,2509,247,URMAS REINSALU
Sotsiaaldemokraatlik Erakond,218,1460,VADIM BELOBROVTSEV
Eesti Reformierakond,2343,464,VALDO RANDPERE
Eesti Keskerakond,4079,899,VIKTOR VASSILJEV
Eesti Reformierakond,1093,684,VILJA SAVISAAR-TOOMAST
Eesti Keskerakond,191,1080,VJATŠESLAV PRUSSAKOV
Eesti Keskerakond,1052,1026,VLADIMIR VELMAN
Eesti Keskerakond,5327,1286,YANA TOOM
